,Location,Latitude,Longitude,Coldestmonth,Hottestmonth,Annualaverage
0,Lerwick,60 N,1 W,3.5,12.4,7.4
1,Stockholm,59.5 N,19 E,−1.7,18.4,7.4
2,Helsinki,60 N,25 E,−4.7,17.8,5.9
3,Saint Petersburg,60 N,30 E,−5.8,18.8,5.8
4,,,,,,
5,Edinburgh,55.5 N,3 W,4.2,15.3,9.3
6,Copenhagen,55.5 N,12 E,1.4,18.1,9.1
7,Klaipeda,55.5 N,21 E,−1.3,17.9,8.0
8,Moscow,55.5 N,30 E,−6.5,19.2,5.8
9,,,,,,
10,Isles of Scilly,50 N,6 W,7.9,16.9,11.8
11,Brussels,50.5 N,4 E,3.3,18.4,10.5
12,Krakow,50 N,20 E,−2.0,19.2,8.7
13,Kyiv,50.5 N,30 E,−3.5,20.5,8.4
14,,,,,,
15,Bordeaux,45 N,0,6.6,21.4,13.8
16,Venice,45.5 N,12 E,3.3,23.0,13.0
17,Belgrade,45 N,20 E,1.4,23.0,12.5
18,Astrakhan,46 N,48 E,−3.7,25.6,10.5
19,,,,,,
20,Coimbra,40 N,8 W,9.9,21.9,16.0
21,Valencia,39.5 N,0,11.9,26.1,18.3
22,Naples,40.5 N,14 E,8.7,24.7,15.9
23,Istanbul,41 N,29 E,6.0,23.8,11.4
